user_id,followers,following,posts,likes_received,comments_received,mentions,shares,account_age_days,region,engagement_rate,degree_centrality,betweenness_centrality,influence_score
U00001,44671,733,3070,1781610,27334,6848,25950,4627,South,4294.14,0.57,0.143,17.4
U00002,386989,1197,1768,3995775,91208,6979,47510,2590,North,1150.37,0.318,0.248,38.4
U00003,327303,5957,4453,3041420,166932,3606,14320,685,East,1184.24,0.327,0.719,43.8
U00004,219467,5696,375,4940929,134407,9217,32757,3652,East,2557.53,0.561,0.023,27.1
U00005,216535,5553,1381,3878565,56525,8462,36673,2404,South,4696.451453900709,0.55,0.128,28.7
U00006,429306,1572,4954,1801947,194372,6117,17118,1909,North,646.11,0.668,0.343,50.3
U00007,43018,5104,2420,3833582,160449,7486,31946,1068,West,10776.23,0.524,0.288,19.4
U00008,348699,618,873,4326748,80477,5357,32616,2236,East,1356.22,0.586,0.114,38.4
U00009,100774,1449,2068,3154140,194690,4708,23523,4820,South,4095.85,0.52,0.137,20.2
U00010,47133,4991,1276,3812727,37467,5456,18827,1114,East,8486.57,0.643,0.252,21.3
U00011,263263,6173,2626,2516719,66392,8449,23768,2843,Central,1082.06,0.599,0.089,32.2
U00012,487812,6557,1179,4557926,186111,162,7447,193,Central,1125.12,0.398,0.297,48.1
U00013,367889,9819,1996,1188088,194046,1008,24660,3509,South,586.67,0.412,0.219,38.4
U00014,380581,8542,4539,2121862,164626,4746,16258,4458,South,773.81,0.515,0.319,43.3
U00015,358752,3803,411,1269557,38240,5810,16962,4890,Central,407.18,0.472,0.237,39.3
U00016,393042,7830,3818,506507,43703,1796,12280,4061,North,184.46,0.713,0.216,46.1
U00017,256637,965,390,3079980,129490,6051,25948,3374,Central,1452.41,0.492,0.447,36.8
U00018,64100,8573,2286,591781,11189,244,378,2925,East,1010.48,0.165,0.072,9.2
U00019,419882,3872,3341,1130741,198236,2460,2868,4357,East,505.36,0.214,0.13,36.3
U00020,225220,7603,4777,3815992,188284,4598,10441,78,Central,2112.33,0.402,0.423,32.3
U00021,250200,9706,1250,1205056,161674,496,28509,1225,North,804.72,0.594,0.198,33.4
U00022,185430,7035,263,4316659,193632,6336,12847,252,North,2850.02,0.305,0.033,19.8
U00023,91315,9203,3754,245692,45940,5351,24810,1170,Central,520.6,0.58,0.157,21.1
U00024,463386,111,4468,2285083,176254,5653,7397,1138,West,683.31,0.297,0.239,43.2
U00025,390794,1713,2825,335901,51466,5136,21028,2222,East,151.8,0.482,0.268,42.4
U00026,321950,6264,302,297854,24239,6913,22678,3463,North,130.16,0.533,0.201,37.2
U00027,201237,5410,2503,3954764,52486,6536,16199,4410,East,2095.63,0.221,0.342,25.4
U00028,411389,1213,1955,333530,154953,6600,2483,3007,West,269.4,0.529,0.056,40.5
U00029,272737,7186,2257,4461307,188598,2129,31089,224,North,4696.451453900709,0.773,0.22,39.0
U00030,221734,596,270,2993001,122387,6872,10181,520,South,1625.79,0.41,0.112,26.0
U00031,225257,9907,1586,2412738,49082,1796,24248,2223,South,1180.05,0.465,0.22,29.5
U00032,113657,1572,4994,4593121,120171,214,35471,3076,South,4569.83,0.501,0.04,18.8
U00033,46113,4460,228,1938397,101923,9779,5041,4129,East,5308.61,0.468,0.172,16.1
U00034,277314,8234,4571,1997917,103588,1787,33932,1889,Central,907.22,0.455,0.169,31.9
U00035,443950,5145,2587,2049690,69977,1136,18722,911,West,540.5,0.439,0.023,40.3
U00036,31955,7441,2923,3253099,27736,3031,25177,733,East,10613.9,0.137,0.048,6.0
U00037,429152,7039,4667,4236289,72253,9994,3825,3090,Central,1071.31,0.541,0.284,46.6
U00038,413824,9488,1089,2710038,178076,8642,24967,4991,Central,870.03,0.235,0.269,39.1
U00039,138416,4644,4922,1405297,81643,7199,18958,377,East,1310.18,0.525,0.214,24.5
U00040,315850,9789,1383,4448789,4147,1881,8908,75,North,1415.07,0.59,0.29,39.7
U00041,82656,5172,1745,2994747,69008,6293,26641,81,South,4040.54,0.531,0.287,22.2
U00042,379055,8933,2247,4161938,92197,8328,32534,2744,Central,1219.59,0.273,0.186,35.7
U00043,350276,7329,3007,2161387,119985,3397,19551,1614,East,788.32,0.513,0.354,41.9
U00044,177295,1337,1613,996742,128324,2592,31717,4129,Central,924.08,0.407,0.135,23.3
U00045,34006,6439,3965,4722479,85094,8678,17081,4034,North,15137.91,0.332,0.085,10.9
U00046,485350,8785,106,3387715,28637,1314,41524,2527,North,727.49,0.863,0.158,54.4
U00047,222871,1292,3333,1538891,88202,9100,14057,235,North,888.36,0.27,0.181,24.6
U00048,446565,8387,3281,4237515,661,4790,39918,2864,North,949.65,0.549,0.165,45.6
U00049,338975,1063,2672,45362,101198,7218,19088,1843,South,162.65,0.755,0.208,43.0
U00050,389202,8712,3067,4651246,89039,3720,27900,4186,Central,1309.46,0.527,0.317,44.1
U00051,379961,7891,3738,2893123,71235,7098,3465,3651,North,4696.451453900709,0.327,0.128,35.7
U00052,97359,1525,4521,2949635,132368,9249,3719,4793,Central,3709.4,0.34,0.295,19.6
U00053,181984,7267,1091,66923,150911,4931,49695,1864,North,451.4,0.171,0.123,18.6
U00054,233387,1176,2384,879556,52768,2121,386,1635,North,489.91,0.469,0.025,26.2
U00055,248920,5684,2810,3603079,100696,778,27766,2409,North,1649.74,0.476,0.224,31.4
U00056,21949,9238,1723,2791160,101944,9256,22862,4131,West,15038.18,0.4,0.2,13.7
U00057,273307,2067,4869,638295,101842,9990,31808,2516,North,419.86,0.735,0.282,39.5
U00058,77187,1746,2557,3329095,80658,6511,186,1699,North,4835.45,0.443,0.344,21.2
U00059,371700,4234,2963,3732110,41969,155,9157,4542,Central,1060.52,0.14,0.26,34.0
U00060,341540,3692,973,1362445,34295,8849,16940,1975,West,449.12,0.753,0.083,40.6
U00061,461267,494,2078,3446831,6167,4953,46170,4383,South,753.94,0.22,0.176,40.2
U00062,372393,4565,3127,4865007,10429,2337,17485,3203,West,1320.42,0.56,0.344,44.2
U00063,183352,2602,2141,2412274,161855,3671,28558,346,Central,1757.02,0.586,0.223,29.0
U00064,483756,1253,3850,1146631,13998,9418,28664,2479,East,4696.451453900709,0.442,0.214,47.0
U00065,205454,2767,683,4809696,171096,7761,20718,3470,Central,2757.38,0.645,0.433,36.0
U00066,162946,216,767,4556762,179303,5969,41455,4577,South,3346.66,0.474,0.306,27.0
U00067,452772,9151,1694,2284231,48249,7357,35660,2728,Central,557.78,0.387,0.274,44.9
U00068,185261,9940,1591,2125903,88592,8476,22204,102,West,1386.61,0.042,0.251,18.8
U00069,38217,3682,4077,4169579,72006,6280,15217,1791,South,11852.03,0.112,0.188,8.8
U00070,234804,8767,4339,2770,78771,3137,13890,4844,West,168.92,1.0,0.206,40.6
U00071,397850,4618,2359,1561517,71603,747,46732,2477,South,482.48,0.606,0.28,45.6
U00072,94776,9124,2527,2716445,68486,1231,6294,1941,North,3227.44,0.71,0.112,23.1
U00073,231497,1739,1471,3270225,136842,2368,8465,4402,East,1708.19,0.962,0.153,38.5
U00074,65004,2852,2659,3141429,82535,7685,13091,2103,North,5467.43,0.387,0.092,14.2
U00075,343254,7400,3532,1852675,37447,941,41655,3872,East,594.28,0.431,0.237,37.4
U00076,237878,2208,3612,4346816,75765,1270,34404,133,Central,1986.57,0.13,0.07,20.7
U00077,165131,8237,4844,3248153,195742,9789,48330,2853,North,2559.69,0.402,0.113,21.9
U00078,113493,4264,2889,2702816,197563,4003,36092,147,West,3251.83,0.397,0.187,19.7
U00079,282271,4044,1701,4693341,12372,1277,24587,902,South,1684.62,0.382,0.332,34.1
U00080,334923,4538,347,470646,115157,8724,2012,2737,East,312.44,0.67,0.052,37.9
U00081,470156,7980,3439,3549100,194753,9671,43832,3104,West,961.99,0.603,0.096,46.9
U00082,218604,65,4019,4634067,38776,5041,33487,618,West,2208.53,0.644,0.015,28.5
U00083,80386,7509,2762,3309126,13756,1127,3578,2505,West,4202.06,0.216,0.102,12.0
U00084,416347,7794,4614,2826773,42397,6275,48539,2049,South,729.86,0.466,0.079,40.1
U00085,314900,8213,1584,1822034,63502,8622,31029,2251,South,679.43,0.528,0.274,38.1
U00086,350147,9966,266,1357655,186933,9654,30991,4058,East,654.67,0.833,0.077,42.7
U00087,48658,7824,3165,2729438,50138,5746,17811,4720,South,4696.451453900709,0.483,0.087,14.9
U00088,156217,5291,606,4494293,66397,9442,16535,401,Central,3089.45,0.427,0.136,22.2
U00089,383933,4666,420,2311061,51926,8317,18215,4963,East,669.57,0.677,0.033,41.1
U00090,416138,3888,3509,604567,78309,1613,2505,283,West,4696.451453900709,0.408,0.249,42.3
U00091,217636,8273,2171,2418105,198933,6340,22518,4758,West,1568.1,0.554,0.256,31.5
U00092,402391,3933,3022,487414,16760,6657,3117,3090,South,141.95,0.548,0.189,42.9
